2025-02-24 07:42:04 startup archives unpack
2025-02-24 07:42:04 upgrade libc6-dev:arm64 2.31-0ubuntu9.16 2.31-0ubuntu9.17
2025-02-24 07:42:04 status half-configured libc6-dev:arm64 2.31-0ubuntu9.16
2025-02-24 07:42:04 status unpacked libc6-dev:arm64 2.31-0ubuntu9.16
2025-02-24 07:42:04 status half-installed libc6-dev:arm64 2.31-0ubuntu9.16
2025-02-24 07:42:05 status unpacked libc6-dev:arm64 2.31-0ubuntu9.17
2025-02-24 07:42:06 upgrade libc-dev-bin:arm64 2.31-0ubuntu9.16 2.31-0ubuntu9.17
2025-02-24 07:42:06 status half-configured libc-dev-bin:arm64 2.31-0ubuntu9.16
2025-02-24 07:42:06 status unpacked libc-dev-bin:arm64 2.31-0ubuntu9.16
2025-02-24 07:42:06 status half-installed libc-dev-bin:arm64 2.31-0ubuntu9.16
2025-02-24 07:42:06 status unpacked libc-dev-bin:arm64 2.31-0ubuntu9.17
2025-02-24 07:42:07 upgrade linux-libc-dev:arm64 5.4.0-193.213 5.4.0-205.225
2025-02-24 07:42:07 status half-configured linux-libc-dev:arm64 5.4.0-193.213
2025-02-24 07:42:07 status unpacked linux-libc-dev:arm64 5.4.0-193.213
2025-02-24 07:42:07 status half-installed linux-libc-dev:arm64 5.4.0-193.213
2025-02-24 07:42:08 status unpacked linux-libc-dev:arm64 5.4.0-205.225
2025-02-24 07:42:09 upgrade libc6:arm64 2.31-0ubuntu9.16 2.31-0ubuntu9.17
2025-02-24 07:42:09 status triggers-pending libc-bin:arm64 2.31-0ubuntu9.16
2025-02-24 07:42:09 status half-configured libc6:arm64 2.31-0ubuntu9.16
2025-02-24 07:42:09 status unpacked libc6:arm64 2.31-0ubuntu9.16
2025-02-24 07:42:09 status half-installed libc6:arm64 2.31-0ubuntu9.16
2025-02-24 07:42:12 status unpacked libc6:arm64 2.31-0ubuntu9.17
2025-02-24 07:42:13 startup packages configure
2025-02-24 07:42:13 configure libc6:arm64 2.31-0ubuntu9.17 <none>
2025-02-24 07:42:13 status unpacked libc6:arm64 2.31-0ubuntu9.17
2025-02-24 07:42:13 status half-configured libc6:arm64 2.31-0ubuntu9.17
2025-02-24 07:42:16 status installed libc6:arm64 2.31-0ubuntu9.17
2025-02-24 07:42:16 startup archives unpack
2025-02-24 07:42:17 upgrade locales:all 2.31-0ubuntu9.16 2.31-0ubuntu9.17
2025-02-24 07:42:17 status half-configured locales:all 2.31-0ubuntu9.16
2025-02-24 07:42:17 status unpacked locales:all 2.31-0ubuntu9.16
2025-02-24 07:42:17 status half-installed locales:all 2.31-0ubuntu9.16
2025-02-24 07:42:19 status unpacked locales:all 2.31-0ubuntu9.17
2025-02-24 07:42:19 upgrade libc-bin:arm64 2.31-0ubuntu9.16 2.31-0ubuntu9.17
2025-02-24 07:42:19 status half-configured libc-bin:arm64 2.31-0ubuntu9.16
2025-02-24 07:42:19 status unpacked libc-bin:arm64 2.31-0ubuntu9.16
2025-02-24 07:42:20 status half-installed libc-bin:arm64 2.31-0ubuntu9.16
2025-02-24 07:42:20 status unpacked libc-bin:arm64 2.31-0ubuntu9.17
2025-02-24 07:42:21 startup packages configure
2025-02-24 07:42:21 configure libc-bin:arm64 2.31-0ubuntu9.17 <none>
2025-02-24 07:42:21 status unpacked libc-bin:arm64 2.31-0ubuntu9.17
2025-02-24 07:42:21 status half-configured libc-bin:arm64 2.31-0ubuntu9.17
2025-02-24 07:42:24 status installed libc-bin:arm64 2.31-0ubuntu9.17
2025-02-24 07:42:24 startup archives unpack
2025-02-24 07:42:25 upgrade logsave:arm64 1.45.5-2ubuntu1.1 1.45.5-2ubuntu1.2
2025-02-24 07:42:25 status half-configured logsave:arm64 1.45.5-2ubuntu1.1
2025-02-24 07:42:25 status unpacked logsave:arm64 1.45.5-2ubuntu1.1
2025-02-24 07:42:25 status half-installed logsave:arm64 1.45.5-2ubuntu1.1
2025-02-24 07:42:25 status unpacked logsave:arm64 1.45.5-2ubuntu1.2
2025-02-24 07:42:26 upgrade libext2fs2:arm64 1.45.5-2ubuntu1.1 1.45.5-2ubuntu1.2
2025-02-24 07:42:26 status triggers-pending libc-bin:arm64 2.31-0ubuntu9.17
2025-02-24 07:42:26 status half-configured libext2fs2:arm64 1.45.5-2ubuntu1.1
2025-02-24 07:42:26 status unpacked libext2fs2:arm64 1.45.5-2ubuntu1.1
2025-02-24 07:42:26 status half-installed libext2fs2:arm64 1.45.5-2ubuntu1.1
2025-02-24 07:42:27 status unpacked libext2fs2:arm64 1.45.5-2ubuntu1.2
2025-02-24 07:42:27 startup packages configure
2025-02-24 07:42:27 configure libext2fs2:arm64 1.45.5-2ubuntu1.2 <none>
2025-02-24 07:42:27 status unpacked libext2fs2:arm64 1.45.5-2ubuntu1.2
2025-02-24 07:42:27 status half-configured libext2fs2:arm64 1.45.5-2ubuntu1.2
2025-02-24 07:42:27 status installed libext2fs2:arm64 1.45.5-2ubuntu1.2
2025-02-24 07:42:28 startup archives unpack
2025-02-24 07:42:28 upgrade e2fsprogs:arm64 1.45.5-2ubuntu1.1 1.45.5-2ubuntu1.2
